iter	Passed	Remaining
0	0	169
1	0	143
2	1	150
3	1	141
4	2	135
5	2	131
6	3	128
7	3	125
8	3	127
9	4	126
10	5	141
11	5	138
12	6	135
13	6	134
14	6	132
15	7	130
16	7	128
17	8	126
18	8	125
19	8	124
20	9	123
21	9	123
22	10	122
23	10	121
24	10	120
25	11	120
26	11	119
27	12	118
28	12	117
29	12	116
30	13	115
31	13	114
32	14	114
33	14	113
34	14	112
35	15	111
36	15	111
37	16	110
38	16	109
39	16	109
40	17	108
41	17	107
42	17	106
43	18	106
44	18	105
45	19	105
46	19	105
47	19	104
48	20	103
49	20	103
50	20	102
51	21	104
52	22	104
53	22	103
54	23	102
55	23	101
56	24	103
57	24	103
58	25	102
59	25	101
60	25	101
61	26	100
62	26	99
63	26	99
64	27	98
65	27	98
66	28	97
67	28	96
68	28	96
69	29	96
70	29	95
71	30	97
72	31	96
73	31	96
74	31	95
75	32	95
76	32	94
77	33	94
78	33	93
79	33	92
80	34	92
81	34	91
82	34	91
83	35	90
84	35	90
85	36	89
86	36	89
87	36	88
88	37	87
89	37	87
90	37	86
91	38	86
92	38	85
93	38	85
94	39	84
95	39	84
96	40	83
97	40	83
98	40	82
99	41	82
100	41	81
101	42	81
102	42	81
103	42	81
104	43	80
105	43	80
106	44	79
107	44	79
108	44	78
109	45	78
110	46	78
111	46	78
112	47	78
113	48	78
114	48	78
115	48	77
116	49	76
117	49	76
118	50	76
119	50	75
120	50	75
121	51	74
122	51	74
123	51	73
124	52	73
125	52	72
126	53	72
127	53	71
128	53	71
129	54	71
130	54	70
131	55	70
132	55	69
133	55	69
134	56	68
135	56	68
136	57	67
137	57	67
138	57	66
139	58	66
140	58	65
141	58	65
142	59	65
143	59	64
144	59	64
145	60	63
146	60	63
147	61	63
148	62	63
149	62	62
150	63	62
151	63	61
152	63	61
153	64	60
154	64	60
155	64	59
156	65	59
157	65	59
158	66	58
159	66	58
160	66	57
161	67	57
162	67	56
163	67	56
164	68	55
165	68	55
166	68	54
167	69	54
168	69	54
169	70	53
170	70	53
171	70	52
172	71	52
173	71	51
174	71	51
175	72	50
176	72	50
177	73	50
178	73	49
179	73	49
180	74	48
181	74	48
182	74	47
183	75	47
184	75	47
185	75	46
186	76	46
187	76	45
188	77	45
189	77	44
190	78	44
191	78	44
192	78	43
193	79	43
194	79	42
195	79	42
196	80	42
197	80	41
198	81	41
199	81	40
200	81	40
201	82	39
202	82	39
203	82	39
204	83	38
205	83	38
206	84	37
207	84	37
208	84	36
209	85	36
210	85	36
211	85	35
212	86	35
213	86	34
214	87	34
215	87	33
216	87	33
217	88	33
218	88	32
219	88	32
220	89	31
221	89	31
222	89	31
223	90	30
224	90	30
225	91	29
226	91	29
227	91	29
228	92	28
229	92	28
230	92	27
231	93	27
232	93	26
233	94	26
234	94	26
235	94	25
236	95	25
237	95	24
238	96	24
239	96	24
240	96	23
241	97	23
242	97	22
243	97	22
244	98	22
245	99	21
246	99	21
247	99	20
248	100	20
249	100	20
250	101	19
251	101	19
252	101	18
253	102	18
254	102	18
255	102	17
256	103	17
257	104	16
258	104	16
259	104	16
260	105	15
261	105	15
262	106	14
263	106	14
264	106	14
265	107	13
266	107	13
267	107	12
268	108	12
269	108	12
270	109	11
271	109	11
272	109	10
273	110	10
274	110	10
275	111	9
276	111	9
277	112	8
278	112	8
279	112	8
280	113	7
281	113	7
282	113	6
283	114	6
284	114	6
285	114	5
286	115	5
287	115	4
288	116	4
289	116	4
290	116	3
291	117	3
292	117	2
293	117	2
294	118	2
295	118	1
296	119	1
297	119	0
298	119	0
299	120	0
