order_id,items
1,"Taco, Salad"
2,"Smoothie, IceCream"
3,"Burger, Fries, Coke"
4,"Tea, Burger"
5,"IceCream, Donut, Wrap"
6,"Burger, Fries, Coke"
7,Coke
8,"Pizza, Coke, Soup"
9,"Burger, Fries, Coke"
10,"Burger, Fries, Coke, Smoothie"
11,Coke
12,"Sandwich, Sushi"
13,IceCream
14,"IceCream, Donut"
15,"Pizza, Coke"
16,"Sushi, Tea"
17,"Pizza, Coke, Tea"
18,"IceCream, Donut, Fries"
19,"Sushi, Tea"
20,Nuggets
21,"Pasta, Salad"
22,"Pasta, Salad"
23,"IceCream, Donut, Smoothie"
24,"Sushi, Tea"
25,"Wrap, Fries"
26,"Nuggets, Salad, Coke"
27,"Sushi, Tea"
28,"Taco, Wrap"
29,"Burger, Fries, Coke"
30,"Sushi, Tea, Sushi"
31,"Burger, Fries, Coke, Tea"
32,"Salad, Tea"
33,"Sandwich, IceCream"
34,"Taco, Wrap"
35,"Burger, Fries, Coke"
36,"Taco, Wrap"
37,"IceCream, Donut"
38,"Pasta, Salad, Smoothie"
39,"Smoothie, Sandwich"
40,"IceCream, Donut, Wrap"
41,"Burger, Fries, Coke"
42,"Fries, Sushi"
43,"Pasta, Salad"
44,"Nuggets, Tea, Soup"
45,"Burger, Fries, Coke"
46,"Nuggets, Burger"
47,"Pizza, Coke"
48,"Sushi, Tea"
49,"Sushi, Sandwich"
50,Pasta
51,"Pizza, Donut"
52,"Pizza, Salad, Fries"
53,"Burger, Fries, Coke"
54,"Sushi, Donut"
55,"Taco, IceCream"
56,"Salad, Wrap"
57,"IceCream, Donut"
58,"Pasta, Salad, Coke"
59,"Soup, Pasta"
60,"Tea, Fries, Wrap"
61,"Pasta, Salad, Pasta"
62,Nuggets
63,"Tea, Wrap"
64,"IceCream, Donut, Sandwich"
65,"Taco, Wrap"
66,"Pasta, Soup, Pizza"
67,"Pizza, Coke"
68,"Sushi, Tea"
69,"IceCream, Donut, Sushi"
70,"Burger, Fries, Coke"
71,"IceCream, Donut"
72,Pasta
73,"Sushi, Tea"
74,"Pizza, Coke, Pizza"
75,"Taco, Wrap"
76,"Burger, Sushi, Pizza"
77,"Coke, Sandwich"
78,"Pasta, Salad, Sushi"
79,"Pasta, Soup, Smoothie, Coke"
80,"Tea, Coke, Sushi, Smoothie"
81,"Pasta, Salad, Burger"
82,"Pizza, Coke, Taco"
83,"Smoothie, Salad"
84,Sandwich
85,"Tea, Soup, Nuggets, IceCream"
86,"Soup, Coke"
87,"Pizza, Coke"
88,"Pizza, Coke, Salad"
89,"Taco, Smoothie"
90,"Sandwich, Fries"
91,"IceCream, Donut"
92,Fries
93,Smoothie
94,Smoothie
95,"Sandwich, Pizza"
96,"Pizza, Coke"
97,"Pasta, Salad, Pizza"
98,"Sushi, Tea"
99,"Fries, Pasta, Salad"
100,"Nuggets, Soup"
101,"Donut, Coke"
102,"Pizza, Coke"
103,"Burger, Fries, Coke, Wrap"
104,Taco
105,"Taco, Wrap"
106,"Pizza, Coke"
107,"Fries, Sushi"
108,"Sushi, Tea"
109,"Pizza, Coke"
110,"Pasta, Salad"
111,"Coke, Sushi, IceCream"
112,"IceCream, Donut"
113,"Soup, Pizza"
114,"IceCream, Donut"
115,"IceCream, Donut, Fries"
116,"Pasta, Salad"
117,"Sushi, Tea, Smoothie"
118,Pasta
119,Pizza
120,"Sushi, Tea, IceCream"
121,"Coke, Pasta, Salad"
122,"Burger, Fries, Coke"
123,"Sushi, Tea"
124,"Pizza, Coke"
