order_id,items
1,"1 x Salad, 1 x Sushi, 1 x Tea, 1 x Soup"
2,"1 x Burger, 1 x Fries, 1 x Coke"
3,"1 x Pasta, 1 x Salad, 1 x Tea"
4,"1 x IceCream, 1 x Donut"
5,"1 x Taco, 1 x Wrap"
6,"1 x Pasta, 1 x Salad"
7,1 x IceCream
8,"1 x Pasta, 1 x Salad, 1 x Smoothie"
9,"1 x Sushi, 1 x Tea, 1 x Nuggets"
10,"1 x Burger, 1 x Fries, 1 x Coke, 1 x Salad"
11,"1 x Pizza, 1 x Coke, 1 x Coke"
12,"1 x Nuggets, 1 x Fries, 1 x Pasta"
13,"1 x Coke, 1 x Donut"
14,1 x Donut
15,"1 x Sushi, 1 x Tea, 1 x Nuggets"
16,1 x Salad
17,"1 x Pasta, 1 x Salad, 1 x Taco"
18,"1 x Pasta, 1 x Salad, 1 x Smoothie"
19,"1 x IceCream, 1 x Donut, 1 x Nuggets"
20,"1 x Smoothie, 1 x Burger"
21,"1 x Burger, 1 x Fries, 1 x Coke"
22,"1 x Pasta, 1 x Salad, 1 x Sushi"
23,"1 x Pizza, 1 x Coke"
24,"1 x Pizza, 1 x Coke"
25,"1 x Burger, 1 x Fries, 1 x Coke"
26,"1 x IceCream, 1 x Donut"
27,"1 x Pasta, 1 x Salad, 1 x Taco"
28,"1 x Pasta, 1 x Salad"
29,1 x IceCream
30,1 x Donut
31,"1 x Taco, 1 x Wrap"
32,"1 x Tea, 1 x Salad"
33,"1 x Sushi, 1 x Tea"
34,"1 x Pizza, 1 x Coke, 1 x Sandwich"
35,"1 x IceCream, 1 x Donut"
36,"1 x Pasta, 1 x Burger, 1 x Smoothie, 1 x Donut"
37,"1 x Coke, 1 x Taco"
38,"1 x Taco, 1 x Wrap"
39,"1 x Sushi, 1 x Tea"
40,"1 x Salad, 1 x Taco"
41,"1 x Smoothie, 1 x Fries"
42,"1 x Burger, 1 x Fries, 1 x Coke, 1 x Salad"
43,"1 x Burger, 1 x Fries, 1 x Coke"
44,"1 x IceCream, 1 x Donut"
45,"1 x IceCream, 1 x Donut, 1 x IceCream"
46,"1 x Burger, 1 x Fries, 1 x Coke, 1 x Fries"
47,"1 x Pasta, 1 x Salad"
48,"1 x Burger, 1 x Fries, 1 x Coke, 1 x Burger"
49,"1 x Burger, 1 x Fries, 1 x Coke, 1 x Taco"
50,"1 x IceCream, 1 x Sushi, 1 x Coke, 1 x Taco"
51,1 x Salad
52,1 x Sandwich
53,"1 x Taco, 1 x Donut"
54,"1 x Pizza, 1 x Coke, 1 x Wrap"
55,"1 x IceCream, 1 x Donut"
56,"1 x Burger, 1 x Fries, 1 x Coke"
57,"1 x IceCream, 1 x Donut"
58,"1 x Sushi, 1 x Tea"
59,"1 x Pasta, 1 x Salad"
60,"1 x Burger, 1 x Fries, 1 x Coke, 1 x Sandwich"
61,1 x Wrap
62,"1 x Nuggets, 1 x Tea, 1 x Pizza"
63,"1 x Sushi, 1 x Tea"
64,1 x Taco
65,"1 x Pizza, 1 x Coke, 1 x Wrap"
66,"1 x Taco, 1 x Wrap"
67,"1 x IceCream, 1 x Donut"
68,"1 x Coke, 1 x Soup, 1 x Donut"
69,"1 x IceCream, 1 x Donut"
70,"1 x Sushi, 1 x Tea, 1 x Nuggets"
71,1 x Tea
72,"1 x Smoothie, 1 x Soup"
