"timestamp","KPT duration (minutes)","Items in order","Order Status"
"2025-11-09 13:00:00","24.00001490814491","1 x Salad, 1 x Pasta, 1 x Fries, 1 x Fries","Delivered"
"2025-11-09 14:00:00","30.97781770540544","1 x Fries, 1 x Sandwich","Delivered"
"2025-11-09 15:00:00","25.07104580247268","1 x Fries, 1 x Sandwich, 1 x Burger, 2 x Pasta, 1 x Sandwich, 1 x Pizza","Delivered"
"2025-11-09 16:00:00","26.131760179272916","2 x Burger, 1 x Burger, 1 x Salad, 1 x Sandwich","Delivered"
"2025-11-09 17:00:00","29.636671280472353","2 x Pasta, 1 x Salad, 2 x Salad, 1 x Fries, 2 x Sandwich, 1 x Fries","Delivered"
"2025-11-09 18:00:00","24.647388842268985","1 x Wrap, 1 x Pizza","Delivered"
"2025-11-09 19:00:00","22.95410997372816","2 x Wrap, 2 x Sandwich","Delivered"
"2025-11-09 20:00:00","23.275119349613934","2 x Salad, 1 x Wrap","Delivered"
"2025-11-09 21:00:00","30.03379926325774","1 x Fries, 1 x Pizza, 1 x Pasta","Delivered"
"2025-11-09 22:00:00","21.9218814026212","1 x Pizza, 1 x Sandwich, 1 x Burger","Delivered"
"2025-11-09 23:00:00","30.32307608486218","1 x Sandwich, 1 x Burger, 1 x Wrap, 1 x Pasta, 1 x Pizza","Delivered"
"2025-11-10 00:00:00","21.592077186199038","1 x Burger, 1 x Pizza, 1 x Fries","Delivered"
"2025-11-10 01:00:00","25.65451423347059","2 x Sandwich, 1 x Pasta, 2 x Pizza, 1 x Pizza, 1 x Wrap","Delivered"
"2025-11-10 02:00:00","15.922469602642343","1 x Burger, 1 x Burger, 1 x Pasta","Delivered"
"2025-11-10 03:00:00","22.002445117871886","1 x Pasta, 1 x Pasta, 1 x Sandwich","Delivered"
"2025-11-10 04:00:00","25.831197626549805","1 x Wrap, 1 x Pasta, 2 x Salad, 1 x Wrap, 2 x Burger","Delivered"
"2025-11-10 05:00:00","17.777904665053573","2 x Pizza, 1 x Sandwich, 2 x Pasta, 1 x Salad","Delivered"
"2025-11-10 06:00:00","16.224764338085617","1 x Wrap, 1 x Pizza","Delivered"
"2025-11-10 07:00:00","14.892107054358043","1 x Fries","Delivered"
"2025-11-10 08:00:00","25.866486616086412","1 x Burger, 1 x Pasta, 1 x Fries, 1 x Fries, 1 x Wrap, 1 x Fries","Delivered"
"2025-11-10 09:00:00","29.783217956346306","1 x Wrap, 2 x Pasta, 2 x Wrap, 1 x Wrap, 1 x Fries, 1 x Pizza, 2 x Pizza, 2 x Burger","Delivered"
"2025-11-10 10:00:00","9.330246308398012","1 x Pizza","Delivered"
"2025-11-10 11:00:00","26.999546425394655","1 x Pasta, 1 x Pizza, 1 x Pizza, 1 x Burger, 1 x Burger","Delivered"
"2025-11-10 12:00:00","21.569775656856613","1 x Burger, 1 x Wrap","Delivered"
"2025-11-10 13:00:00","32.00056616415488","1 x Burger, 1 x Salad, 1 x Burger, 1 x Pizza, 1 x Wrap, 2 x Wrap, 1 x Pizza","Delivered"
"2025-11-10 14:00:00","25.891392663760623","2 x Pizza, 1 x Wrap, 1 x Salad","Delivered"
