"subtotal","packaging_charges","promo_discount","restro_discount","total","rest_lat","rest_lon","Distance_km","temperature","humidity","precipitation","wind_speed","weather_condition","upto","flat_%","flat_rs","buy_1_get_1","buy_7_get_3","hour","month","day_of_month","timestamp"
715.0,31.75,80.0,0.0,666.75,28.5734,77.2581,3.0,26.0,96.0,0.0,0.0,"Cloudy",80.0,0.0,0.0,0,0,23,9,10,"2024-09-10 23:00:00"
1179.0,50.2,175.0,0.0,1054.2,28.5734,77.2581,2.0,26.0,96.0,0.0,0.0,"Cloudy",0.0,0.0,175.0,0,0,23,9,10,"2024-09-10 23:00:00"
310.0,11.5,80.0,0.0,241.5,28.5734,77.2581,0.9,26.1,95.0,0.0,0.0,"Cloudy",80.0,0.0,0.0,0,0,15,9,10,"2024-09-10 15:00:00"
620.0,27.0,80.0,0.0,567.0,28.5734,77.2581,2.0,26.1,95.0,0.0,0.0,"Cloudy",80.0,0.0,0.0,0,0,15,9,10,"2024-09-10 15:00:00"
584.0,25.2,80.0,0.0,529.2,28.5734,77.2581,2.0,26.1,95.0,0.0,0.0,"Cloudy",80.0,0.0,0.0,0,0,15,9,10,"2024-09-10 15:00:00"
715.0,31.75,80.0,0.0,666.75,28.5734,77.2581,1.0,25.8,100.0,0.0,5.4,"Rainy",80.0,0.0,0.0,0,0,12,9,10,"2024-09-10 12:00:00"
370.0,14.5,80.0,0.0,304.5,28.5734,77.2581,6.0,26.6,96.0,3.1,0.0,"Cloudy",80.0,0.0,0.0,0,0,0,9,10,"2024-09-10 00:00:00"
310.0,11.5,80.0,0.0,241.5,28.5734,77.2581,2.0,27.4,94.0,2.3,0.0,"Cloudy",80.0,0.0,0.0,0,0,22,9,9,"2024-09-09 22:00:00"
473.0,19.65,80.0,0.0,412.65,28.5734,77.2581,1.0,27.4,94.0,2.3,0.0,"Cloudy",80.0,0.0,0.0,0,0,22,9,9,"2024-09-09 22:00:00"
405.0,16.25,80.0,0.0,341.25,28.5734,77.2581,0.9,29.2,82.0,0.0,0.0,"Cloudy",80.0,0.0,0.0,0,0,15,9,9,"2024-09-09 15:00:00"
370.0,13.5,100.0,0.0,283.5,28.5734,77.2581,6.0,26.9,98.0,0.0,5.5,"Foggy",100.0,0.0,0.0,0,0,22,9,8,"2024-09-08 22:00:00"
645.0,28.25,80.0,0.0,593.25,28.5734,77.2581,2.0,26.9,98.0,0.0,5.5,"Foggy",80.0,0.0,0.0,0,0,21,9,8,"2024-09-08 21:00:00"
310.0,10.5,100.0,0.0,220.5,28.5734,77.2581,3.0,27.3,97.0,0.0,0.0,"Cloudy",100.0,0.0,0.0,0,0,19,9,8,"2024-09-08 19:00:00"
460.0,19.0,80.0,0.0,399.0,28.5734,77.2581,4.0,27.3,97.0,0.0,0.0,"Cloudy",80.0,0.0,0.0,0,0,19,9,8,"2024-09-08 19:00:00"
858.1,42.91,0.0,0.0,901.01,28.5734,77.2581,4.0,27.3,97.0,0.0,0.0,"Cloudy",0.0,0.0,0.0,0,0,19,9,8,"2024-09-08 19:00:00"
695.0,30.75,80.0,0.0,645.75,28.5734,77.2581,3.0,27.4,96.0,0.0,1.8,"Cloudy",80.0,0.0,0.0,0,0,18,9,8,"2024-09-08 18:00:00"
460.0,19.0,80.0,0.0,399.0,28.5734,77.2581,5.0,28.2,94.0,0.0,0.0,"Cloudy",80.0,0.0,0.0,0,0,15,9,8,"2024-09-08 15:00:00"
218.0,6.9,80.0,0.0,144.9,28.5734,77.2581,3.0,28.2,90.0,0.4,0.0,"Rainy",80.0,0.0,0.0,0,0,2,9,8,"2024-09-08 02:00:00"
405.0,15.25,100.0,0.0,320.25,28.5734,77.2581,4.0,28.2,90.0,0.4,0.0,"Rainy",100.0,0.0,0.0,0,0,2,9,8,"2024-09-08 02:00:00"
435.0,16.75,100.0,0.0,351.75,28.5734,77.2581,6.0,27.1,96.0,1.1,1.8,"Rainy",100.0,0.0,0.0,0,0,1,9,8,"2024-09-08 01:00:00"
635.0,26.75,100.0,0.0,561.75,28.5734,77.2581,2.0,27.0,96.0,0.0,0.0,"Rainy",100.0,0.0,0.0,0,0,21,9,7,"2024-09-07 21:00:00"
310.0,11.5,80.0,0.0,241.5,28.5734,77.2581,2.0,27.0,96.0,0.0,0.0,"Rainy",80.0,0.0,0.0,0,0,20,9,7,"2024-09-07 20:00:00"
524.0,22.2,80.0,0.0,466.2,28.5734,77.2581,5.0,27.0,96.0,0.0,0.0,"Cloudy",80.0,0.0,0.0,0,0,18,9,7,"2024-09-07 18:00:00"
910.0,36.75,175.0,0.0,771.75,28.5734,77.2581,2.0,27.2,95.0,0.0,5.5,"Rainy",0.0,0.0,175.0,0,0,16,9,7,"2024-09-07 16:00:00"
310.0,11.5,80.0,0.0,241.5,28.5734,77.2581,4.0,29.0,86.0,0.0,3.7,"Rainy",80.0,0.0,0.0,0,0,12,9,7,"2024-09-07 12:00:00"
585.0,24.25,100.0,0.0,509.25,28.5734,77.2581,4.0,27.0,93.0,0.0,1.8,"Rainy",100.0,0.0,0.0,0,0,2,9,7,"2024-09-07 02:00:00"
325.0,12.25,80.0,0.0,257.25,28.5734,77.2581,1.0,26.6,95.0,0.0,1.8,"Rainy",0.0,0.0,80.0,0,0,0,9,7,"2024-09-07 00:00:00"
325.0,12.25,80.0,0.0,257.25,28.5734,77.2581,4.0,26.4,94.0,0.1,1.8,"Rainy",0.0,0.0,80.0,0,0,23,9,6,"2024-09-06 23:00:00"
895.0,39.75,100.0,0.0,834.75,28.5734,77.2581,8.0,26.5,92.0,0.2,0.0,"Rainy",100.0,0.0,0.0,0,0,21,9,6,"2024-09-06 21:00:00"
680.0,30.0,80.0,0.0,630.0,28.5734,77.2581,3.0,26.5,92.0,0.2,0.0,"Rainy",0.0,0.0,80.0,0,0,21,9,6,"2024-09-06 21:00:00"
1084.0,50.2,80.0,0.0,1054.2,28.5734,77.2581,3.0,26.6,90.0,0.4,0.0,"Rainy",0.0,0.0,80.0,0,0,20,9,6,"2024-09-06 20:00:00"
1290.0,55.75,175.0,0.0,1170.75,28.5734,77.2581,1.0,26.6,90.0,0.4,0.0,"Rainy",0.0,0.0,175.0,0,0,20,9,6,"2024-09-06 20:00:00"
695.0,30.75,80.0,0.0,645.75,28.5734,77.2581,3.0,26.6,90.0,0.4,0.0,"Rainy",80.0,0.0,0.0,0,0,20,9,6,"2024-09-06 20:00:00"
310.0,10.5,100.0,0.0,220.5,28.5734,77.2581,2.0,26.6,90.0,0.4,0.0,"Rainy",100.0,0.0,0.0,0,0,20,9,6,"2024-09-06 20:00:00"
325.0,12.25,80.0,0.0,257.25,28.5734,77.2581,4.0,28.2,86.0,0.0,7.6,"Rainy",80.0,0.0,0.0,0,0,15,9,6,"2024-09-06 15:00:00"
310.0,11.5,80.0,0.0,241.5,28.5734,77.2581,6.0,28.2,86.0,0.0,7.6,"Rainy",80.0,0.0,0.0,0,0,14,9,6,"2024-09-06 14:00:00"
355.0,12.75,100.0,0.0,267.75,28.5734,77.2581,1.0,31.0,81.0,0.0,9.4,"Rainy",100.0,0.0,0.0,0,0,11,9,6,"2024-09-06 11:00:00"
199.0,4.98,99.5,0.0,104.48,28.5734,77.2581,3.0,25.6,100.0,0.0,0.0,"Rainy",100.0,0.0,0.0,0,0,3,9,6,"2024-09-06 03:00:00"
775.0,30.0,175.0,0.0,630.0,28.5734,77.2581,1.0,27.3,92.0,0.0,3.7,"Rainy",0.0,0.0,175.0,0,0,2,9,6,"2024-09-06 02:00:00"
347.0,12.35,100.0,0.0,259.35,28.5734,77.2581,7.0,27.3,92.0,0.0,3.7,"Rainy",100.0,0.0,0.0,0,0,1,9,6,"2024-09-06 01:00:00"
355.0,12.75,100.0,0.0,267.75,28.5734,77.2581,4.0,27.3,92.0,0.0,3.7,"Rainy",100.0,0.0,0.0,0,0,1,9,6,"2024-09-06 01:00:00"
310.0,10.5,100.0,0.0,220.5,28.5734,77.2581,7.0,27.1,94.0,0.0,1.8,"Rainy",100.0,0.0,0.0,0,0,0,9,6,"2024-09-06 00:00:00"
665.0,29.25,80.0,0.0,614.25,28.5734,77.2581,4.0,27.6,96.0,0.7,0.0,"Rainy",80.0,0.0,0.0,0,0,23,9,5,"2024-09-05 23:00:00"
620.0,26.0,100.0,0.0,546.0,28.5734,77.2581,8.0,27.6,96.0,0.7,0.0,"Rainy",100.0,0.0,0.0,0,0,23,9,5,"2024-09-05 23:00:00"
755.0,29.0,175.0,0.0,609.0,28.5734,77.2581,3.0,27.3,94.0,1.1,1.8,"Rainy",0.0,0.0,175.0,0,0,22,9,5,"2024-09-05 22:00:00"
435.0,17.75,80.0,0.0,372.75,28.5734,77.2581,1.0,28.0,92.0,0.0,0.0,"Rainy",0.0,0.0,80.0,0,0,20,9,5,"2024-09-05 20:00:00"
325.0,11.25,100.0,0.0,236.25,28.5734,77.2581,2.0,27.1,94.0,0.0,1.8,"Rainy",100.0,0.0,0.0,0,0,19,9,5,"2024-09-05 19:00:00"
