iter	RMSE
0	3.015694233
1	2.937252359
2	2.874068282
3	2.819483701
4	2.717449319
5	2.660517713
6	2.610757309
7	2.554005403
8	2.488957272
9	2.420145118
10	2.365571267
11	2.329906882
12	2.288978959
13	2.227624023
14	2.181447367
15	2.140748092
16	2.100950991
17	2.076593603
18	2.062625776
19	2.009882639
20	1.981172752
21	1.956842398
22	1.929966253
23	1.900192819
24	1.868237153
25	1.847423521
26	1.816000922
27	1.805823848
28	1.784522818
29	1.752833572
30	1.728853482
31	1.72472832
32	1.699082703
33	1.678025604
34	1.654555761
35	1.629356184
36	1.608130792
37	1.589191644
38	1.56896834
39	1.544671679
40	1.529199621
41	1.510481681
42	1.4964795
43	1.469993666
44	1.452951663
45	1.429718145
46	1.419323319
47	1.397483062
48	1.375091881
49	1.363133265
50	1.340913165
51	1.317140378
52	1.309950867
53	1.290997213
54	1.282361325
55	1.264425549
56	1.244705462
57	1.234685772
58	1.213291731
59	1.195128449
60	1.175565244
61	1.153876721
62	1.148537087
63	1.144713287
64	1.118122852
65	1.09447103
66	1.07728543
67	1.060448711
68	1.046654627
69	1.024667828
70	1.003061994
71	0.9860832541
72	0.9741537613
73	0.9515054167
74	0.9325038041
75	0.9170693944
76	0.9003760811
77	0.8878521263
78	0.871876737
79	0.8551767961
80	0.8398718972
81	0.8214496436
82	0.8089844055
83	0.7947315726
84	0.7796268536
85	0.7716279652
86	0.756311813
87	0.7442819671
88	0.7296694489
89	0.7224729773
90	0.711209402
91	0.7036621831
92	0.6906500102
93	0.6779607709
94	0.6656171641
95	0.6543015482
96	0.6491103866
97	0.6367964559
98	0.6273134685
99	0.6184439416
100	0.606449431
101	0.601974047
102	0.5934360655
103	0.5883111337
104	0.5783379494
105	0.5673418253
106	0.557319489
107	0.5531233223
108	0.5431229774
109	0.5340063237
110	0.530760303
111	0.5245508225
112	0.5165678841
113	0.5099827983
114	0.5010504728
115	0.4968748683
116	0.4901850045
117	0.4840780555
118	0.475661586
119	0.4681990059
120	0.4614730643
121	0.4579495764
122	0.4556343921
123	0.4493389087
124	0.4431498657
125	0.4410209309
126	0.4343125016
127	0.4290979989
128	0.4227964289
129	0.4180641757
130	0.4137380754
131	0.4072787102
132	0.402210899
133	0.3992024731
134	0.3947182382
135	0.3922742932
136	0.3863983405
137	0.3823713514
138	0.3798291362
139	0.3746071255
140	0.3712619058
141	0.3655648106
142	0.3628113816
143	0.3596699156
144	0.3563725606
145	0.3518580334
146	0.3473496577
147	0.3458373286
148	0.3432145215
149	0.3405849102
150	0.3375039467
151	0.3326741767
152	0.3295726095
153	0.32513078
154	0.321055184
155	0.3179595869
156	0.3154331826
157	0.3131937161
158	0.3097312898
159	0.3064874074
160	0.3053342826
161	0.3037183601
162	0.3004654568
163	0.2981747024
164	0.2954073132
165	0.2936007034
166	0.2903921017
167	0.2891116884
168	0.2861842803
169	0.284650132
170	0.2814307778
171	0.2794369998
172	0.2786920926
173	0.2759626185
174	0.2726767162
175	0.2698278853
176	0.2673574364
177	0.2656906183
178	0.262780455
179	0.2607062106
180	0.2600508052
181	0.257302976
182	0.2545775198
183	0.2527310749
184	0.2504959803
185	0.2499581287
186	0.2492406198
187	0.247638396
188	0.2458922128
189	0.2453730284
190	0.2424966869
191	0.2421227573
192	0.2402214159
193	0.2386234638
194	0.2369881409
195	0.2346994456
196	0.2343962284
197	0.2324034494
198	0.2307330627
199	0.2290754524
200	0.2274458049
201	0.2256880991
202	0.223918761
203	0.2226762349
204	0.2223812908
205	0.2221032479
206	0.2201390214
207	0.218858407
208	0.2170680064
209	0.216827564
210	0.2154057175
211	0.215044823
212	0.2131913325
213	0.2113947546
214	0.2096779708
215	0.2081650029
216	0.2068466968
217	0.2054275046
218	0.2040451945
219	0.2031530208
220	0.2022202709
221	0.2010021025
222	0.1995274817
223	0.1992158131
224	0.1979231641
225	0.1971771422
226	0.1959283035
227	0.1948218395
228	0.1946253681
229	0.1930560657
230	0.1915519571
231	0.1906589158
232	0.1895224363
233	0.1884215752
234	0.1870726807
235	0.1862445459
236	0.1847743005
237	0.1836980089
238	0.1827897331
239	0.1814352369
240	0.1805367388
241	0.1800183823
242	0.1795991792
243	0.1786469234
244	0.1780629247
245	0.1768066261
246	0.1758097775
247	0.1756447756
248	0.1744528194
249	0.173699465
250	0.1730223841
251	0.1728544815
252	0.1720539029
253	0.1710576907
254	0.1709195413
255	0.1696087575
256	0.1693924345
257	0.1682656808
258	0.1673280346
259	0.1666535559
260	0.1660280293
261	0.1653010696
262	0.1645692001
263	0.1638473985
264	0.1636158375
265	0.1628732341
266	0.1620369979
267	0.1619080075
268	0.1610204875
269	0.1597887252
270	0.1591458725
271	0.1587926673
272	0.1577198578
273	0.1570956691
274	0.156035673
275	0.1559091724
276	0.1551962063
277	0.1542966021
278	0.1533415794
279	0.1521357686
280	0.1514560668
281	0.151342341
282	0.150595337
283	0.1503736986
284	0.1496664735
285	0.1488619178
286	0.1483020049
287	0.1482332686
288	0.1475684233
289	0.1474543123
290	0.1467181372
291	0.1459238833
292	0.1457186994
293	0.145444979
294	0.1446970195
295	0.143862777
296	0.142920825
297	0.1420959328
298	0.141535061
299	0.1411981368
