iter	Passed	Remaining
0	0	92
1	0	89
2	0	85
3	1	83
4	1	82
5	1	82
6	1	80
7	2	80
8	2	82
9	2	85
10	3	85
11	3	84
12	3	85
13	4	85
14	4	84
15	4	83
16	4	82
17	5	82
18	5	81
19	5	81
20	6	80
21	6	79
22	6	79
23	6	78
24	7	78
25	7	83
26	8	83
27	8	82
28	8	82
29	9	81
30	9	81
31	9	80
32	9	80
33	10	79
34	10	79
35	10	78
36	11	78
37	11	78
38	11	78
39	11	77
40	12	77
41	12	76
42	12	77
43	13	76
44	13	76
45	13	76
46	14	75
47	14	75
48	14	75
49	14	74
50	15	74
51	15	73
52	15	73
53	16	72
54	16	72
55	16	72
56	16	71
57	17	71
58	17	70
59	17	70
60	17	70
61	18	69
62	18	69
63	18	68
64	18	68
65	19	68
66	19	68
67	19	68
68	20	67
69	20	67
70	20	66
71	21	66
72	21	66
73	21	65
74	21	65
75	22	65
76	22	64
77	22	64
78	22	64
79	23	63
80	24	65
81	24	65
82	24	64
83	25	64
84	25	63
85	25	63
86	25	63
87	26	63
88	26	62
89	26	62
90	27	62
91	27	62
92	27	61
93	28	61
94	28	61
95	28	60
96	28	60
97	29	61
98	30	61
99	30	61
100	30	60
101	31	60
102	31	60
103	31	59
104	31	59
105	32	58
106	32	58
107	32	58
108	33	57
109	33	57
110	33	57
111	33	56
112	34	56
113	34	56
114	35	57
115	35	56
116	35	56
117	36	55
118	36	55
119	36	55
120	37	55
121	37	54
122	37	54
123	38	54
124	38	53
125	38	53
126	39	53
127	39	52
128	39	52
129	40	52
130	40	52
131	40	51
132	40	51
133	41	51
134	41	50
135	41	50
136	42	50
137	42	49
138	42	49
139	43	49
140	43	48
141	43	48
142	43	48
143	44	47
144	44	47
145	44	47
146	45	47
147	45	46
148	45	46
149	46	46
150	46	45
151	46	45
152	47	45
153	47	44
154	47	44
155	47	44
156	48	43
157	48	43
158	48	43
159	49	42
160	49	42
161	50	42
162	50	42
163	50	42
164	51	41
165	51	41
166	51	41
167	51	40
168	52	40
169	52	40
170	52	39
171	53	39
172	53	39
173	53	38
174	53	38
175	54	38
176	54	37
177	54	37
178	55	37
179	55	36
180	55	36
181	55	36
182	56	35
183	56	35
184	57	35
185	57	35
186	58	35
187	58	34
188	58	34
189	59	34
190	59	33
191	59	33
192	60	33
193	60	33
194	60	32
195	61	32
196	61	32
197	61	31
198	62	31
199	62	31
200	62	30
201	62	30
202	63	30
203	63	29
204	63	29
205	63	29
206	64	28
207	64	28
208	64	28
209	65	27
210	65	27
211	65	27
212	65	26
213	66	26
214	67	26
215	67	26
216	67	25
217	67	25
218	68	25
219	68	24
220	68	24
221	68	24
222	69	23
223	69	23
224	69	23
225	70	22
226	70	22
227	70	22
228	70	21
229	71	21
230	71	21
231	71	21
232	71	20
233	72	20
234	72	20
235	72	19
236	73	19
237	73	19
238	73	18
239	75	18
240	75	18
241	75	18
242	76	17
243	76	17
244	76	17
245	76	16
246	77	16
247	77	16
248	77	15
249	78	15
250	78	15
251	78	14
252	78	14
253	79	14
254	79	14
255	79	13
256	80	13
257	80	13
258	80	12
259	80	12
260	81	12
261	81	11
262	81	11
263	81	11
264	82	10
265	82	10
266	82	10
267	83	9
268	83	9
269	83	9
270	84	8
271	84	8
272	85	8
273	85	8
274	85	7
275	86	7
276	87	7
277	87	6
278	87	6
279	87	6
280	88	5
281	88	5
282	88	5
283	89	5
284	89	4
285	90	4
286	90	4
287	91	3
288	91	3
289	91	3
290	92	2
291	92	2
292	92	2
293	93	1
294	93	1
295	93	1
296	94	0
297	94	0
298	95	0
299	95	0
