pollution_time_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2024-09-01 00:00:00,4,907.9,0.12,26.73,16.99,22.65,55.62,69.8,5.64
2024-09-01 01:00:00,4,1108.17,1.98,33.59,6.97,28.37,64.29,82.57,7.79
2024-09-01 02:00:00,5,1575.47,15.2,35.99,4.96,38.15,83.51,111.33,12.67
2024-09-01 03:00:00,5,1922.61,28.16,38.39,13.95,46.73,97.97,132.27,16.72
2024-09-01 04:00:00,5,1615.52,14.31,47.98,37.55,57.7,95.38,122.27,16.97
2024-09-01 05:00:00,5,1602.17,9.16,54.15,66.52,70.57,113.09,139.61,17.99
2024-09-01 06:00:00,5,1708.98,5.76,62.38,101.57,90.6,143.13,171.68,19.25
2024-09-01 07:00:00,5,1361.85,2.04,48.67,150.2,75.34,128.1,149.08,13.68
2024-09-01 08:00:00,5,1308.44,1.15,50.04,147.34,69.62,116.45,134.37,12.54
2024-09-01 09:00:00,5,1441.96,0.43,64.43,128.75,77.25,118.51,136.9,13.68
2024-09-01 10:00:00,5,1508.71,0.0,67.86,103.0,82.02,114.86,132.79,14.06
2024-09-01 11:00:00,5,1508.71,0.0,67.17,88.69,82.97,109.05,125.81,13.3
2024-09-01 12:00:00,5,1482.01,0.0,65.8,82.25,83.92,106.24,121.34,11.27
2024-09-01 13:00:00,5,2189.64,0.08,105.56,38.62,97.27,144.87,171.59,16.47
2024-09-01 14:00:00,5,3364.56,10.84,148.06,1.21,109.67,220.66,269.27,23.56
2024-09-01 15:00:00,5,4325.87,29.06,154.91,0.0,108.72,293.75,359.14,25.08
2024-09-01 16:00:00,5,4539.49,31.74,148.06,0.0,96.32,324.06,393.15,21.53
2024-09-01 17:00:00,5,3952.03,22.35,119.27,0.0,74.39,291.9,351.63,15.07
2024-09-01 18:00:00,5,2910.61,9.05,85.0,0.57,46.73,223.64,265.18,10.13
2024-09-01 19:00:00,5,1588.82,0.06,45.93,21.28,30.52,130.59,146.95,7.16
2024-09-01 20:00:00,5,1241.68,0.03,33.59,22.17,28.37,101.27,111.8,6.78
2024-09-01 21:00:00,5,1134.87,0.04,29.82,20.92,29.56,95.48,104.84,6.46
2024-09-01 22:00:00,5,1094.82,0.05,29.47,20.03,31.47,94.08,102.98,6.46
2024-09-01 23:00:00,5,1094.82,0.09,30.16,17.7,33.86,91.07,99.5,6.46
2024-09-02 00:00:00,5,1121.52,0.29,32.9,13.05,36.72,86.94,95.49,6.71
2024-09-02 01:00:00,5,1268.39,3.1,38.73,4.34,44.82,90.92,101.67,8.11
2024-09-02 02:00:00,5,1655.58,17.21,41.47,0.08,56.27,107.5,124.31,11.4
2024-09-02 03:00:00,5,2029.42,35.32,43.53,0.06,68.66,119.7,140.93,14.19
2024-09-02 04:00:00,5,2056.12,40.23,45.24,0.73,78.2,113.07,135.23,14.95
2024-09-02 05:00:00,5,1842.5,35.76,47.98,0.87,89.65,93.86,113.69,13.43
2024-09-02 06:00:00,4,1588.82,31.74,51.41,0.75,104.9,74.44,89.84,11.02
2024-09-02 07:00:00,4,1628.88,35.32,52.78,1.11,117.3,71.27,85.98,10.64
2024-09-02 08:00:00,5,2056.12,44.26,51.41,0.12,111.58,86.61,106.2,13.05
2024-09-02 09:00:00,5,2349.85,46.04,54.84,0.1,105.86,96.47,120.25,15.33
2024-09-02 10:00:00,5,2723.69,53.2,63.06,2.57,102.04,115.76,146.07,20.52
2024-09-02 11:00:00,5,3417.97,69.74,83.63,5.59,113.49,154.56,194.66,27.36
2024-09-02 12:00:00,5,4272.46,91.2,108.3,4.16,133.51,202.31,253.14,35.46
2024-09-02 13:00:00,5,4646.3,94.77,116.53,0.68,141.14,233.83,295.37,40.02
2024-09-02 14:00:00,5,4272.46,72.42,102.82,0.0,120.16,232.09,298.28,33.44
2024-09-02 15:00:00,5,3471.37,44.26,89.11,0.0,99.18,193.32,252.52,24.32
2024-09-02 16:00:00,5,2429.96,19.89,70.6,0.03,75.34,129.92,174.67,17.73
2024-09-02 17:00:00,5,2002.72,12.41,55.52,0.13,56.74,103.46,144.02,15.58
2024-09-02 18:00:00,5,1695.63,8.27,49.35,0.43,46.73,89.41,124.84,12.29
2024-09-02 19:00:00,4,1375.2,3.97,45.24,1.54,39.1,72.39,99.44,8.61
2024-09-02 20:00:00,4,1148.22,1.37,39.41,4.52,34.81,61.94,83.64,7.54
2024-09-02 21:00:00,4,1028.06,0.61,33.59,7.51,31.95,55.32,73.98,7.22
2024-09-02 22:00:00,4,974.66,0.61,31.53,7.51,31.95,52.16,68.73,7.09
2024-09-02 23:00:00,3,934.6,0.76,30.85,6.71,32.9,49.4,63.29,6.65
2024-09-03 00:00:00,3,907.9,0.87,31.53,6.79,34.33,47.69,59.01,6.14
2024-09-03 01:00:00,4,947.95,1.41,35.99,6.71,41.01,53.91,65.46,6.84
2024-09-03 02:00:00,4,1134.87,6.71,42.16,5.41,50.54,64.65,80.05,9.63
2024-09-03 03:00:00,4,1241.68,13.63,45.24,9.03,59.6,67.34,84.6,11.65
2024-09-03 04:00:00,4,1121.52,8.27,54.84,11.09,68.66,60.28,73.93,10.39
