item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12
grilled chicken jamaican tender,grilled chicken peri peri tangdi,,,,,,,,,,
peri peri fries,fried chicken angara tender,grilled chicken angara tender,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
fried chicken ghostbuster tender,angara grilled paneer (8 pcs),,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
grilled chicken jamaican tangdi,bone in jamaican grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
fried chicken angara tender,angara rice,,,,,,,,,,
grilled chicken peri peri tangdi,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
tipsy tiger ginger ale,bone in jamaican grilled chicken,bone in smoky bbq grilled chicken,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
angara aloo tuk tuki,,,,,,,,,,,
grilled chicken peri peri tangdi,,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
grilled chicken smoky bbq tangdi,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
animal fries,salted fries,,,,,,,,,,
bone in jamaican grilled chicken,fried chicken angara tender,,,,,,,,,,
bone in kabuli grilled chicken,,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
bone in angara grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
jamaican sauce,grilled chicken jamaican tender,,,,,,,,,,
bone in smoky bbq grilled chicken,aac signature fries,bone in peri peri grilled chicken,,,,,,,,,
bone in jamaican grilled chicken,grilled chicken peri peri tender,grilled chicken angara tenders + salted fries,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
bone in kabuli grilled chicken,,,,,,,,,,,
animal fries,,,,,,,,,,,
bone in smoky bbq grilled chicken,fried chicken peri peri tenders + peri peri fries,,,,,,,,,,
angara aloo tuk tuki,aac signature fries,,,,,,,,,,
animal fries,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
animal fries,grilled chicken smoky bbq tender,,,,,,,,,,
bone in smoky bbq grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
fried chicken peri peri tender,grilled chicken jamaican tender,,,,,,,,,,
bone in jamaican grilled chicken,bone in peri peri grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in kabuli grilled chicken,,,,,,,,,,,
fried chicken angara tender,salted fries,,,,,,,,,,
fried chicken peri peri tender,garlic aioli,fried chicken classic tender,indian pico de-gallo,,,,,,,,
grilled chicken jamaican tender,grilled chicken peri peri tender,,,,,,,,,,
bone in smoky bbq grilled chicken,fried chicken classic tender,,,,,,,,,,
bone in angara grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
fried chicken peri peri tender,aac saucy fries,,,,,,,,,,
bone in jamaican grilled chicken,grilled chicken peri peri tender,,,,,,,,,,
bone in angara grilled chicken,bone in peri peri grilled chicken,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,bone in smoky bbq grilled chicken,,,,,,,,,,
grilled chicken smoky bbq tender,grilled chicken jamaican tender,,,,,,,,,,
bone in smoky bbq grilled chicken,grilled chicken peri peri tender,,,,,,,,,,
fried chicken classic tender,grilled chicken peri peri tender,,,,,,,,,,
fried chicken peri peri tender,grilled chicken smoky bbq tender,,,,,,,,,,
bone in kabuli grilled chicken,fried chicken classic tender,,,,,,,,,,
grilled chicken smoky bbq tangdi,fried chicken classic tender,grilled chicken jamaican tender,,,,,,,,,
bone in kabuli grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,bone in smoky bbq grilled chicken,,,,,,,,,,
bone in smoky bbq grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
grilled chicken peri peri tangdi,grilled chicken ghostbuster tangdi,,,,,,,,,,
bone in peri peri grilled chicken,garlic aioli,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
india dynamite sauce,bone in angara grilled chicken,aac special slaw,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,animal fries,,,,,,,,,,
grilled chicken peri peri tender,,,,,,,,,,,
cafreal dip,indian pico de-gallo,bone in peri peri grilled chicken,bone in angara grilled chicken,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,bone in smoky bbq grilled chicken,,,,,,,,,,
animal fries,bone in smoky bbq grilled chicken,,,,,,,,,,
