antecedent,consequent,support,confidence,lift,count
tipsy tiger ginger ale,tipsy tiger fresh lime soda,0.0010884482513842221,0.20535714285714285,19.11630742605412,23
tipsy tiger fresh lime soda,tipsy tiger ginger ale,0.0010884482513842221,0.1013215859030837,19.11630742605412,23
fried chicken kabuli tender,fried chicken angara tender,0.0012777435994510435,0.20930232558139536,12.493693338588884,27
mutton seekh pide,just pepperoni pide,0.001656334295584686,0.12773722627737227,10.796861313868614,35
just pepperoni pide,mutton seekh pide,0.001656334295584686,0.14,10.796861313868613,35
pepperoni garlic bread,peri peri chicken melt,0.0021768965027684443,0.1513157894736842,10.118525149900067,46
peri peri chicken melt,pepperoni garlic bread,0.0021768965027684443,0.14556962025316456,10.118525149900066,46
fried chicken ghostbuster tender,grilled chicken peri peri tender,0.001656334295584686,0.14767932489451477,9.371206649687663,35
grilled chicken peri peri tender,fried chicken ghostbuster tender,0.001656334295584686,0.10510510510510511,9.371206649687663,35
mutton seekh pide,murgh amritsari seekh pide,0.003312668591169372,0.25547445255474455,9.291619030867999,70
murgh amritsari seekh pide,mutton seekh pide,0.003312668591169372,0.12048192771084337,9.291619030867997,70
mutton seekh pizza,peri peri chicken melt,0.0015616866215512754,0.12941176470588237,8.653797468354432,33
peri peri chicken melt,mutton seekh pizza,0.0015616866215512754,0.10443037974683544,8.65379746835443,33
mutton seekh pizza,pepperoni garlic bread,0.0014197151105011594,0.11764705882352941,8.177631578947368,30
grilled chicken angara tender,grilled chicken jamaican tender,0.002413515687851971,0.2125,7.76875,51
grilled chicken angara tender,grilled chicken peri peri tender,0.0011357720884009276,0.1,6.345645645645646,24
masala potato pide,herbed potato,0.002555487198902087,0.25,6.04433638443936,54
grilled chicken jamaican tender,grilled chicken smoky bbq tender,0.002981401732052435,0.10899653979238755,5.966854617494667,63
grilled chicken smoky bbq tender,grilled chicken jamaican tender,0.002981401732052435,0.16321243523316062,5.966854617494666,63
fried chicken beast aac burger,animal fries,0.0012304197624343383,0.2,5.789315068493151,26
jamaican chicken melt,murgh amritsari seekh melt,0.007382518574606029,0.13720316622691292,5.695953056072489,156
murgh amritsari seekh melt,jamaican chicken melt,0.007382518574606029,0.30648330058939094,5.695953056072488,156
spinach sumac pide,masala paneer pide,0.002271544176801855,0.16666666666666666,5.264324862979571,48
angara paneer melt,mushroom mozzarella melt,0.0039278784723865414,0.12556732223903178,5.034844565906984,83
mushroom mozzarella melt,angara paneer melt,0.0039278784723865414,0.15749525616698293,5.034844565906983,83
og cheese pide,masala paneer pide,0.0019402773176849179,0.1576923076923077,4.980861216511441,41
bone in angara grilled chicken,bone in peri peri grilled chicken,0.0027921063839856136,0.13470319634703196,4.832620105278663,59
bone in peri peri grilled chicken,bone in angara grilled chicken,0.0027921063839856136,0.100169779286927,4.832620105278663,59
grilled chicken peri peri tender,bone in kabuli grilled chicken,0.0017036581326013913,0.10810810810810811,4.700478256033811,36
fried chicken angara tender,fried chicken peri peri tender,0.0019876011547016233,0.11864406779661017,4.5500322987480395,42
og cheese pide,murgh amritsari seekh pide,0.0015143627845345701,0.12307692307692308,4.476314047398385,32
fried chicken ghostbuster tender,bone in kabuli grilled chicken,0.0011357720884009276,0.10126582278481013,4.402979632234203,24
aac grilled chicken burger,animal fries,0.0012777435994510435,0.15083798882681565,4.366243208081427,27
