dish1,dish2,count
bageecha pizza,chilli cheese garlic bread,478
bageecha pizza,makhani paneer pizza,368
all about chicken pizza,bageecha pizza,222
bageecha pizza,herbed potato,211
bageecha pizza,cheesy garlic bread,210
chilli cheese garlic bread,makhani paneer pizza,187
bone in jamaican grilled chicken,bone in peri peri grilled chicken,160
jamaican chicken melt,murgh amritsari seekh melt,156
bageecha pizza,margherita pizza,156
bone in jamaican grilled chicken,bone in smoky bbq grilled chicken,155
bageecha pizza,peri peri paneer pizza,152
cheesy garlic bread,margherita pizza,127
all about chicken pizza,murgh amritsari seekh pizza,125
cheesy garlic bread,makhani paneer pizza,125
bageecha pizza,mushroom pizza,120
all about chicken pizza,chilli cheese garlic bread,115
chilli cheese garlic bread,herbed potato,113
chilli cheese garlic bread,margherita pizza,113
bageecha pizza,tripple cheese pizza,103
makhani paneer pizza,peri peri paneer pizza,101
all about chicken pizza,murgh amritsari garlic bread,99
animal fries,bone in jamaican grilled chicken,98
cheesy garlic bread,chilli cheese garlic bread,98
chilli cheese garlic bread,masala paneer pide,97
bone in angara grilled chicken,bone in jamaican grilled chicken,94
bageecha pizza,masala paneer pide,93
bone in jamaican grilled chicken,bone in kabuli grilled chicken,93
bageecha pizza,murgh amritsari seekh pizza,83
angara paneer melt,mushroom mozzarella melt,83
all about chicken pizza,makhani paneer pizza,82
all about chicken pizza,cheesy garlic bread,80
all about chicken pizza,jamaican chicken melt,80
chilli cheese garlic bread,peri peri paneer pizza,80
animal fries,fried chicken peri peri tender,72
murgh amritsari seekh pide,mutton seekh pide,70
all about chicken pizza,just pepperoni pizza,68
cheesy garlic bread,jamaican chicken melt,68
chilli cheese garlic bread,peri peri crisper fries,68
bageecha pizza,jamaican chicken melt,67
cheesy garlic bread,tripple cheese pizza,66
grilled chicken jamaican tender,grilled chicken smoky bbq tender,63
jamaican chicken melt,margherita pizza,61
cheesy garlic bread,peri peri paneer pizza,61
bageecha pizza,spinach sumac pide,61
makhani paneer pizza,margherita pizza,61
bageecha pizza,peri peri crisper fries,60
herbed potato,margherita pizza,60
chilli cheese garlic bread,murgh amritsari garlic bread,60
jamaican chicken melt,murgh amritsari garlic bread,59
all about chicken pizza,margherita pizza,59
makhani paneer pizza,murgh amritsari seekh pizza,59
bone in angara grilled chicken,bone in peri peri grilled chicken,59
angara paneer melt,jamaican chicken melt,59
makhani paneer pizza,masala paneer pide,58
makhani paneer pizza,tripple cheese pizza,58
bageecha pizza,mushroom mozzarella melt,58
cheesy garlic bread,herbed potato,58
bageecha pizza,peri peri grilled chicken pizza,57
all about chicken pizza,herbed potato,55
herbed potato,makhani paneer pizza,55
herbed potato,masala potato pide,54
angara paneer melt,cheesy garlic bread,54
chilli cheese garlic bread,jamaican chicken melt,53
fried chicken peri peri tender,grilled chicken jamaican tender,53
