order_id,items
6168884918,"Grilled Chicken Jamaican Tender, Grilled Chicken Peri Peri Tangdi"
6170707559,"Fried Chicken Angara Tender, Grilled Chicken Angara Tender, Peri Peri Fries"
6169375019,Bone in Peri Peri Grilled Chicken
6151677434,"Fried Chicken Ghostbuster Tender, Angara Grilled Paneer (8 pcs)"
6167540897,"Fried Chicken Angara Tender, Peri Peri Krispers"
6164725184,"Grilled Chicken Jamaican Tangdi, Bone in Jamaican Grilled Chicken"
6151460444,Bone in Jamaican Grilled Chicken
6167255032,Bone in Angara Grilled Chicken
6167184688,"Fried Chicken Angara Tender, Angara Rice"
6163081676,Grilled Chicken Peri Peri Tangdi
6164758457,Bone in Jamaican Grilled Chicken
6159645418,Bone in Jamaican Grilled Chicken
6163201423,Bone in Smoky Bbq Grilled Chicken
6161956272,Fried Chicken Peri Peri Tender
6153489136,"Bone in Smoky Bbq Grilled Chicken, Tipsy Tiger Ginger Ale, Bone in Jamaican Grilled Chicken"
6163049565,Bone in Angara Grilled Chicken
6155177885,Fried Chicken Peri Peri Tender
6156719166,Angara Aloo Tuk Tuki
6158533370,Grilled Chicken Peri Peri Tangdi
6152228975,Grilled Chicken Smoky BBQ Tender
6157229636,Grilled Chicken Smoky BBQ Tangdi
6160420881,Bone in Jamaican Grilled Chicken
6158429833,"Animal Fries, Salted Fries"
6156152215,"Fried Chicken Angara Tender, Bone in Jamaican Grilled Chicken"
6159249185,Bone in Kabuli Grilled Chicken
6159181202,Bone in Peri Peri Grilled Chicken
6158034744,Fried Chicken Peri Peri Tender
6144978141,Fried Chicken Peri Peri Tender
6155011355,"Bone in Angara Grilled Chicken, Bone in Jamaican Grilled Chicken"
6157562143,"Grilled Chicken Jamaican Tender, Jamaican Sauce"
6155576594,"Bone in Peri Peri Grilled Chicken, AAC Signature Fries, Bone in Smoky Bbq Grilled Chicken"
6149438913,"Grilled Chicken Angara Tenders + Salted Fries, Bone in Jamaican Grilled Chicken, Grilled Chicken Peri Peri Tender"
6157743878,Bone in Jamaican Grilled Chicken
6158241703,Bone in Jamaican Grilled Chicken
6156620875,Fried Chicken Peri Peri Tender
6154403375,Bone in Kabuli Grilled Chicken
6154147762,Animal Fries
6150715172,AAC Signature Krispers
6150789630,"Fried Chicken Peri Peri Tenders + Peri Peri Fries, Bone in Smoky Bbq Grilled Chicken"
6151158050,"Angara Aloo Tuk Tuki, AAC Signature Fries"
6155965734,Animal Fries
6155526018,Grilled Chicken Jamaican Tender
6146261091,"Animal Fries, Grilled Chicken Smoky BBQ Tender"
6155286499,"Bone in Smoky Bbq Grilled Chicken, Bone in Jamaican Grilled Chicken"
6155319009,Bone in Jamaican Grilled Chicken
6155343744,Grilled Chicken Smoky BBQ Tender
6151641967,Fried Chicken Angara Tender
6152673880,Fried Chicken Peri Peri Tender
6145690912,Bone in Jamaican Grilled Chicken
6152587141,"Bone in Smoky Bbq Grilled Chicken, Bone in Jamaican Grilled Chicken"
6143319424,"Grilled Chicken Jamaican Tender, Fried Chicken Peri Peri Tender"
6152649630,"Bone in Peri Peri Grilled Chicken, Bone in Jamaican Grilled Chicken"
6146501186,Bone in Jamaican Grilled Chicken
6145930056,Bone in Kabuli Grilled Chicken
6145885503,"Fried Chicken Angara Tender, Salted Fries"
6153460436,"Garlic Aioli, Indian Pico De-Gallo, Fried Chicken Classic Tender, Fried Chicken Peri Peri Tender"
6149384788,"Grilled Chicken Jamaican Tender, Grilled Chicken Peri Peri Tender"
6153295379,"Bone in Smoky Bbq Grilled Chicken, Fried Chicken Classic Tender"
6151765091,"Bone in Angara Grilled Chicken, Bone in Jamaican Grilled Chicken"
6151170863,"AAC Saucy Fries, Fried Chicken Peri Peri Tender"
6148418552,"Bone in Jamaican Grilled Chicken, Grilled Chicken Peri Peri Tender"
6151566063,"Bone in Peri Peri Grilled Chicken, Bone in Angara Grilled Chicken"
6145781285,Bone in Peri Peri Grilled Chicken
6151947675,Bone in Peri Peri Grilled Chicken
6149007950,"Bone in Smoky Bbq Grilled Chicken, Bone in Jamaican Grilled Chicken"
6147952636,"Grilled Chicken Smoky BBQ Tender, Grilled Chicken Jamaican Tender"
6146517611,"Bone in Smoky Bbq Grilled Chicken, Grilled Chicken Peri Peri Tender"
6147223342,"Fried Chicken Classic Tender, Grilled Chicken Peri Peri Tender"
6148317461,"Grilled Chicken Smoky BBQ Tender, Fried Chicken Peri Peri Tender"
6150575094,"Fried Chicken Classic Tender, Bone in Kabuli Grilled Chicken"
6147352865,"Grilled Chicken Jamaican Tender, Fried Chicken Classic Tender, Grilled Chicken Smoky BBQ Tangdi"
6152604746,"Bone in Jamaican Grilled Chicken, Bone in Kabuli Grilled Chicken"
6125480550,"Bone in Smoky Bbq Grilled Chicken, Bone in Jamaican Grilled Chicken"
6147529218,"Bone in Smoky Bbq Grilled Chicken, Bone in Jamaican Grilled Chicken"
6151551465,"Grilled Chicken Angara Tender, Grilled Chicken Peri Peri Tender"
6145952899,"Grilled Chicken Peri Peri Tangdi, Grilled Chicken Ghostbuster Tangdi"
6152451484,"Bone in Peri Peri Grilled Chicken, Garlic Aioli"
6145028896,Bone in Jamaican Grilled Chicken
6143017232,"India Dynamite sauce, Bone in Angara Grilled Chicken, AAC Special Slaw"
6146212039,Bone in Jamaican Grilled Chicken
6146853616,"Animal Fries, Bone in Smoky Bbq Grilled Chicken"
6130555847,"Salted Krispers, Grilled Chicken Peri Peri Tender"
6151773822,"Bone in Peri Peri Grilled Chicken, Cafreal dip, Indian Pico De-Gallo, Bone in Angara Grilled Chicken"
6143779367,Bone in Jamaican Grilled Chicken
6146106285,"Bone in Smoky Bbq Grilled Chicken, Bone in Jamaican Grilled Chicken"
6146094951,"Animal Fries, Bone in Smoky Bbq Grilled Chicken"
6148163639,"Animal Fries, Grilled Chicken Jamaican Tender"
6147899210,"Fried Chicken Angara Tender, Fried Chicken Ghostbuster Tender"
6150311284,"Bone in Peri Peri Grilled Chicken, Bone in Jamaican Grilled Chicken"
6149415596,Bone in Smoky Bbq Grilled Chicken
6150898091,Fried Chicken Angara Tender
6143948696,"Grilled Chicken Angara Tender, Grilled Chicken Jamaican Tender, Bone in Jamaican Grilled Chicken"
6147557942,"Fried Chicken Classic Tender, Fried Chicken Peri Peri Tender"
6148529759,"Bone in Peri Peri Grilled Chicken, Bone in Angara Grilled Chicken"
6150238934,"Bone in Peri Peri Grilled Chicken, Bone in Angara Grilled Chicken"
6146697877,Bone in Smoky Bbq Grilled Chicken
6145306142,"Fried Chicken Angara Tender, Bone in Smoky Bbq Grilled Chicken"
6149979442,Grilled Chicken Jamaican Tender
6145994013,"Grilled Chicken Angara Tender, Bone in Jamaican Grilled Chicken"
6150183759,Animal Fries
6144643572,Grilled Chicken Angara Tangdi
6137428219,Bone in Jamaican Grilled Chicken
6141943607,Bone in Peri Peri Grilled Chicken
6145238773,"Bone in Smoky Bbq Grilled Chicken, Salted Fries, Bone in Jamaican Grilled Chicken"
6142278831,Bone in Jamaican Grilled Chicken
6146100417,Bone in Peri Peri Grilled Chicken
6147028506,Grilled Chicken Angara Tender
6145190300,Fried Chicken Peri Peri Tender
6144881186,"Bone in Peri Peri Grilled Chicken, AAC Saucy Fries"
6145582608,"Bone in Peri Peri Grilled Chicken, Bone in Jamaican Grilled Chicken"
6141922791,Animal Fries
6141318955,"Grilled Chicken Peri Peri Tangdi, Angara Rice"
6145627993,Bone in Jamaican Grilled Chicken
6140918262,Bone in Angara Grilled Chicken
6143587716,Bone in Jamaican Grilled Chicken
6141317336,Bone in Smoky Bbq Grilled Chicken
6143870258,Bone in Jamaican Grilled Chicken
6144280420,Grilled Chicken Peri Peri Tender
6144589662,"Grilled Chicken Smoky BBQ Tender, Fried Chicken Peri Peri Tenders + Peri Peri Fries, Bone in Jamaican Grilled Chicken"
6134811002,"Fried Chicken Peri Peri Tenders + Peri Peri Fries, Bone in Angara Grilled Chicken"
